PeakID (cmd=annotatePeaks.pl development_5th_p05FC1_shared_5thdown_melpCoords.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_5th_p05FC1_shared_5thdown_melpCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
925	Hmel212001	1693399	1694372	+	0	NA	Intergenic	Intergenic	-22731	ID=HMEL007967g1.t1-E1;Parent=HMEL007967g1.t1								
1896	Hmel218018	6294028	6294203	+	0	NA	Intergenic	Intergenic	-15978	ID=HMEL034459g1.t1-E1;Parent=HMEL034459g1.t1								
390	Hmel201009	3737563	3738725	+	0	NA	Intergenic	Intergenic	-3909	ID=HMEL012426g2.t1-E4;Parent=HMEL012426g2.t1								
2368	Hmel202006	6412763	6413256	+	0	NA	Intergenic	Intergenic	-7084	ID=HMEL033419g1.t1-E1;Parent=HMEL033419g1.t1								
1042	Hmel212009	751150	751446	+	0	NA	Intergenic	Intergenic	12734	ID=HMEL011903g1.t1-E1;Parent=HMEL011903g1.t1								
1515	Hmel216011	715563	715947	+	0	NA	Intergenic	Intergenic	-5571	ID=HMEL011150g1.t1-E1;Parent=HMEL011150g1.t1								
1686	Hmel217018	494241	494492	+	0	NA	Intergenic	Intergenic	-32756	ID=HMEL033964g1.t1-E1;Parent=HMEL033964g1.t1								
38	Hmel201009	425581	426130	+	0	NA	Intergenic	Intergenic	10461	ID=HMEL011610g4.t1-E4;Parent=HMEL011610g4.t1								
1955	Hmel218018	8432939	8433619	+	0	NA	Intergenic	Intergenic	19732	ID=HMEL009227g1.t1-E2;Parent=HMEL009227g1.t1								
196	Hmel207002	3982844	3983280	+	0	NA	Intergenic	Intergenic	3581	ID=HMEL037444g1.t1-E1;Parent=HMEL037444g1.t1								
945	Hmel212001	2061425	2062093	+	0	NA	TTS (ID=HMEL016808g1.t1-E1;Parent=HMEL016808g1.t1)	-TTS (ID=HMEL016808g1.t1-E1;Parent=HMEL016808g1.t1)	199	ID=HMEL016808g1.t1-E1;Parent=HMEL016808g1.t1								
1169	Hmel213020	340107	340985	+	0	NA	Intergenic	Intergenic	1427	ID=HMEL031881g1.t1-E2;Parent=HMEL031881g1.t1								
206	Hmel207002	5005439	5005746	+	0	NA	promoter-TSS (ID=HMEL013844g1.t1-E6;Parent=HMEL013844g1.t1)	-promoter-TSS (ID=HMEL013844g1.t1-E6;Parent=HMEL013844g1.t1)	-532	ID=HMEL013844g1.t1-E6;Parent=HMEL013844g1.t1								
118	Hmel201009	1101496	1101896	+	0	NA	Intergenic	Intergenic	5397	ID=HMEL003506g1.t1-E2;Parent=HMEL003506g1.t1								
959	Hmel212001	2825260	2826025	+	0	NA	Intergenic	Intergenic	20333	ID=HMEL016850g1.t1-E2;Parent=HMEL016850g1.t1								
1674	Hmel217014	386117	386430	+	0	NA	Intergenic	Intergenic	-10247	ID=HMEL033905g1.t1-E1;Parent=HMEL033905g1.t1								
358	Hmel208017	145415	146205	+	0	NA	Intergenic	Intergenic	-4810	ID=HMEL037878g1.t1-E1;Parent=HMEL037878g1.t1								
331	Hmel201009	3086562	3086790	+	0	NA	promoter-TSS (ID=HMEL017186g1.t1-E1;Parent=HMEL017186g1.t1)	-promoter-TSS (ID=HMEL017186g1.t1-E1;Parent=HMEL017186g1.t1)	-820	ID=HMEL017186g1.t1-E1;Parent=HMEL017186g1.t1								
1065	Hmel212011	1546962	1547341	+	0	NA	Intergenic	Intergenic	-3381	ID=HMEL012933g1.t1-E1;Parent=HMEL012933g1.t1								
1659	Hmel217004	4196391	4196560	+	0	NA	Intergenic	Intergenic	-1241	ID=HMEL002947g1.t1-E1;Parent=HMEL002947g1.t1								
737	Hmel210011	3894086	3894504	+	0	NA	Intergenic	Intergenic	-2490	ID=HMEL030904g1.t1-E1;Parent=HMEL030904g1.t1								
767	Hmel210012	108556	109131	+	0	NA	Intergenic	Intergenic	2277	ID=HMEL003084g1.t1-E3;Parent=HMEL003084g1.t1								
2228	Hmel220003	2254404	2255035	+	0	NA	Intergenic	Intergenic	-1760	ID=HMEL012565g1.t1-E1;Parent=HMEL012565g1.t1								
2070	Hmel219003	6368329	6368498	+	0	NA	Intergenic	Intergenic	-10690	ID=HMEL002697g1.t1-E4;Parent=HMEL002697g1.t1								
2173	Hmel219018	1077814	1078335	+	0	NA	Intergenic	Intergenic	-2682	ID=HMEL034907g1.t1-E1;Parent=HMEL034907g1.t1								
1020	Hmel212006	303967	304590	+	0	NA	Intergenic	Intergenic	4581	ID=HMEL002726g3.t1-E2;Parent=HMEL002726g3.t1								
805	Hmel211004	1574633	1575996	+	0	NA	promoter-TSS (ID=HMEL031061g1.t1-E1;Parent=HMEL031061g1.t1)	-promoter-TSS (ID=HMEL031061g1.t1-E1;Parent=HMEL031061g1.t1)	-59	ID=HMEL031061g1.t1-E1;Parent=HMEL031061g1.t1								
84	Hmel206009	3048070	3048271	+	0	NA	Intergenic	Intergenic	-1478	ID=HMEL003212g2.t2-E1;Parent=HMEL003212g2.t2								
437	Hmel201009	4282507	4282676	+	0	NA	Intergenic	Intergenic	-4027	ID=HMEL030242g1.t1-E1;Parent=HMEL030242g1.t1								
194	Hmel207002	3312693	3312882	+	0	NA	Intergenic	Intergenic	-6431	ID=HMEL009345g1.t1-E1;Parent=HMEL009345g1.t1								
1768	Hmel218007	723952	724573	+	0	NA	Intergenic	Intergenic	4556	ID=HMEL002563g1.t1-E6;Parent=HMEL002563g1.t1								
220	Hmel207002	6001206	6001399	+	0	NA	Intergenic	Intergenic	1170	ID=HMEL037490g1.t1-E6;Parent=HMEL037490g1.t1								
1312	Hmel213069	973427	974012	+	0	NA	Intergenic	Intergenic	-4888	ID=HMEL032231g1.t1-E1;Parent=HMEL032231g1.t1								
2395	Hmel221001	1415965	1416239	+	0	NA	Intergenic	Intergenic	1828	ID=HMEL013519g1.t1-E29;Parent=HMEL013519g1.t1								
2365	Hmel220012	305311	305886	+	0	NA	Intergenic	Intergenic	2113	ID=HMEL035296g1.t1-E2;Parent=HMEL035296g1.t1								
1021	Hmel212006	316297	316683	+	0	NA	Intergenic	Intergenic	-14582	ID=HMEL031532g1.t1-E1;Parent=HMEL031532g1.t1								
1263	Hmel213062	1094957	1095374	+	0	NA	Intergenic	Intergenic	-8577	ID=HMEL032129g1.t1-E1;Parent=HMEL032129g1.t1								
934	Hmel212001	1907774	1908193	+	0	NA	promoter-TSS (ID=HMEL031359g1.t1-E1;Parent=HMEL031359g1.t1)	-promoter-TSS (ID=HMEL031359g1.t1-E1;Parent=HMEL031359g1.t1)	-45	ID=HMEL031359g1.t1-E1;Parent=HMEL031359g1.t1								
1989	Hmel219003	629862	630213	+	0	NA	Intergenic	Intergenic	-1713	ID=HMEL014459g1.t1-E1;Parent=HMEL014459g1.t1								
948	Hmel212001	2144230	2144396	+	0	NA	Intergenic	Intergenic	8588	ID=HMEL016810g2.t1-E1;Parent=HMEL016810g2.t1								
2160	Hmel219014	1804107	1805310	+	0	NA	Intergenic	Intergenic	-23043	ID=HMEL008057g1.t1-E1;Parent=HMEL008057g1.t1								
572	Hmel210004	1114171	1114498	+	0	NA	Intergenic	Intergenic	-16351	ID=HMEL011109g1.t1-E1;Parent=HMEL011109g1.t1								
2450	Hmel201002	204236	204991	+	0	NA	Intergenic	Intergenic	9162	ID=HMEL030013g1.t1-E2;Parent=HMEL030013g1.t1								
1398	Hmel214029	224018	224222	+	0	NA	promoter-TSS (ID=HMEL032589g1.t1-E1;Parent=HMEL032589g1.t1)	-promoter-TSS (ID=HMEL032589g1.t1-E1;Parent=HMEL032589g1.t1)	-105	ID=HMEL032589g1.t1-E1;Parent=HMEL032589g1.t1								
226	Hmel207002	6173688	6174956	+	0	NA	Intergenic	Intergenic	20855	ID=HMEL037494g1.t1-E2;Parent=HMEL037494g1.t1								
527	Hmel209007	2832542	2832981	+	0	NA	Intergenic	Intergenic	-14240	ID=HMEL030435g1.t1-E1;Parent=HMEL030435g1.t1								
1430	Hmel215006	1362608	1363054	+	0	NA	TTS (ID=HMEL000026-RA-E14;Parent=HMEL000026-RA)	-TTS (ID=HMEL000026-RA-E14;Parent=HMEL000026-RA)	1035	ID=HMEL000026-RA-E14;Parent=HMEL000026-RA								
1145	Hmel213004	1809807	1810359	+	0	NA	Intergenic	Intergenic	-3128	ID=HMEL010428g1.t1-E1;Parent=HMEL010428g1.t1								
1870	Hmel218018	2677043	2677315	+	0	NA	Intergenic	Intergenic	4303	ID=HMEL034395g1.t1-E2;Parent=HMEL034395g1.t1								
2549	Hmel204001	1204921	1205814	+	0	NA	Intergenic	Intergenic	7011	ID=HMEL009716g1.t1-E7;Parent=HMEL009716g1.t1								
1448	Hmel215029	165521	165969	+	0	NA	Intergenic	Intergenic	-5458	ID=HMEL002092g1.t1-E1;Parent=HMEL002092g1.t1								
2466	Hmel203041	121670	122219	+	0	NA	Intergenic	Intergenic	-5338	ID=HMEL036050g1.t1-E1;Parent=HMEL036050g1.t1								
62	Hmel206009	1990597	1990969	+	0	NA	promoter-TSS (ID=HMEL037036g1.t1-E1;Parent=HMEL037036g1.t1)	-promoter-TSS (ID=HMEL037036g1.t1-E1;Parent=HMEL037036g1.t1)	-770	ID=HMEL037036g1.t1-E1;Parent=HMEL037036g1.t1								
833	Hmel211004	3978448	3979435	+	0	NA	TTS (ID=HMEL015693g1.t1-E1;Parent=HMEL015693g1.t1)	-TTS (ID=HMEL015693g1.t1-E1;Parent=HMEL015693g1.t1)	265	ID=HMEL015693g1.t1-E1;Parent=HMEL015693g1.t1								
1472	Hmel215047	865195	865735	+	0	NA	promoter-TSS (ID=HMEL032880g1.t1-E3;Parent=HMEL032880g1.t1)	-promoter-TSS (ID=HMEL032880g1.t1-E3;Parent=HMEL032880g1.t1)	186	ID=HMEL032880g1.t1-E2;Parent=HMEL032880g1.t1								
1573	Hmel202006	1402389	1402734	+	0	NA	promoter-TSS (ID=HMEL006853g1.t1-E1;Parent=HMEL006853g1.t1)	-promoter-TSS (ID=HMEL006853g1.t1-E1;Parent=HMEL006853g1.t1)	-52	ID=HMEL006853g1.t1-E1;Parent=HMEL006853g1.t1								
548	Hmel209007	4550799	4551314	+	0	NA	Intergenic	Intergenic	9246	ID=HMEL003866g1.t1-E3;Parent=HMEL003866g1.t1								
2020	Hmel219003	3841510	3842348	+	0	NA	Intergenic	Intergenic	6764	ID=HMEL034641g1.t1-E1;Parent=HMEL034641g1.t1								
2575	Hmel201007	559120	559374	+	0	NA	Intergenic	Intergenic	-32573	ID=HMEL014538g1.t1-E1;Parent=HMEL014538g1.t1								
1110	Hmel212013	2798969	2799901	+	0	NA	Intergenic	Intergenic	-2272	ID=HMEL012642g1.t1-E1;Parent=HMEL012642g1.t1								
2622	Hmel205012	48593	49264	+	0	NA	Intergenic	Intergenic	-1443	ID=HMEL036657g1.t1-E2;Parent=HMEL036657g1.t1								
2204	Hmel220003	1285577	1285938	+	0	NA	Intergenic	Intergenic	-13986	ID=HMEL017017g1.t1-E1;Parent=HMEL017017g1.t1								
1999	Hmel219003	1942993	1943137	+	0	NA	Intergenic	Intergenic	-2849	ID=HMEL010670g1.t1-E1;Parent=HMEL010670g1.t1								
1772	Hmel218007	789740	790027	+	0	NA	Intergenic	Intergenic	1567	ID=HMEL002569g1.t1-E2;Parent=HMEL002569g1.t1								
418	Hmel201009	4169064	4169568	+	0	NA	Intergenic	Intergenic	5672	ID=HMEL012457g1.t1-E12;Parent=HMEL012457g1.t1								
2324	Hmel220005	4830419	4830707	+	0	NA	Intergenic	Intergenic	-3651	ID=HMEL035219g1.t1-E8;Parent=HMEL035219g1.t1								
933	Hmel212001	1875523	1875945	+	0	NA	Intergenic	Intergenic	7514	ID=HMEL031357g1.t1-E2;Parent=HMEL031357g1.t1								
783	Hmel201011	1708501	1709053	+	0	NA	Intergenic	Intergenic	3071	ID=HMEL011402g5.t1-E2;Parent=HMEL011402g5.t1								
2217	Hmel220003	1702494	1703396	+	0	NA	Intergenic	Intergenic	3445	ID=HMEL017043g1.t1-E1;Parent=HMEL017043g1.t1								
1357	Hmel214008	2271136	2271504	+	0	NA	Intergenic	Intergenic	2983	ID=HMEL032376g1.t1-E1;Parent=HMEL032376g1.t1								
2333	Hmel220005	5640167	5640598	+	0	NA	Intergenic	Intergenic	-36742	ID=HMEL035242g1.t1-E1;Parent=HMEL035242g1.t1								
348	Hmel208003	168085	168648	+	0	NA	Intergenic	Intergenic	-2435	ID=HMEL037808g1.t1-E1;Parent=HMEL037808g1.t1								
1152	Hmel213012	176385	177028	+	0	NA	Intergenic	Intergenic	-9396	ID=HMEL003658g1.t1-E1;Parent=HMEL003658g1.t1								
789	Hmel211004	850465	850675	+	0	NA	Intergenic	Intergenic	-2232	ID=HMEL031039g1.t1-E1;Parent=HMEL031039g1.t1								
49	Hmel206009	794300	794667	+	0	NA	Intergenic	Intergenic	21781	ID=HMEL017103g1.t1-E1;Parent=HMEL017103g1.t1								
2046	Hmel219003	5066486	5066848	+	0	NA	Intergenic	Intergenic	-2691	ID=HMEL016902g1.t1-E3;Parent=HMEL016902g1.t1								
2052	Hmel219003	5733975	5734242	+	0	NA	Intergenic	Intergenic	-3789	ID=HMEL016872g1.t1-E1;Parent=HMEL016872g1.t1								
993	Hmel212001	6085094	6085401	+	0	NA	Intergenic	Intergenic	5201	ID=HMEL031461g1.t1-E2;Parent=HMEL031461g1.t1								
627	Hmel210004	6753156	6754805	+	0	NA	promoter-TSS (ID=HMEL009658g1.t1-E5;Parent=HMEL009658g1.t1)	-promoter-TSS (ID=HMEL009658g1.t1-E5;Parent=HMEL009658g1.t1)	-601	ID=HMEL009658g1.t1-E5;Parent=HMEL009658g1.t1								
1090	Hmel201019	826114	826683	+	0	NA	Intergenic	Intergenic	-21008	ID=HMEL006990g1.t1-E1;Parent=HMEL006990g1.t1								
1308	Hmel213069	863170	863387	+	0	NA	Intergenic	Intergenic	5089	ID=HMEL032228g1.t1-E1;Parent=HMEL032228g1.t1								
2117	Hmel219012	310898	312145	+	0	NA	Intergenic	Intergenic	-17625	ID=HMEL034766g1.t1-E1;Parent=HMEL034766g1.t1								
715	Hmel210011	2727053	2727244	+	0	NA	Intergenic	Intergenic	-20875	ID=HMEL030880g1.t1-E1;Parent=HMEL030880g1.t1								
1934	Hmel218018	7650026	7650383	+	0	NA	TTS (ID=HMEL016586g1.t1-E1;Parent=HMEL016586g1.t1)	-TTS (ID=HMEL016586g1.t1-E1;Parent=HMEL016586g1.t1)	985	ID=HMEL016586g1.t1-E1;Parent=HMEL016586g1.t1								
2503	Hmel203067	491874	492262	+	0	NA	Intergenic	Intergenic	-8139	ID=HMEL025034-RB-E1;Parent=HMEL025034-RB								
2201	Hmel220003	1268512	1269025	+	0	NA	Intergenic	Intergenic	-30975	ID=HMEL017017g1.t1-E1;Parent=HMEL017017g1.t1								
1916	Hmel218018	6752717	6753126	+	0	NA	promoter-TSS (ID=HMEL034467g1.t1-E2;Parent=HMEL034467g1.t1)	-promoter-TSS (ID=HMEL034467g1.t1-E2;Parent=HMEL034467g1.t1)	-557	ID=HMEL034467g1.t1-E2;Parent=HMEL034467g1.t1								
23	Hmel206006	793783	794447	+	0	NA	Intergenic	Intergenic	-2608	ID=HMEL036941g1.t1-E1;Parent=HMEL036941g1.t1								
1722	Hmel218003	958868	960299	+	0	NA	Intergenic	Intergenic	11304	ID=HMEL001004g1.t1-E6;Parent=HMEL001004g1.t1								
388	Hmel201009	3717328	3717568	+	0	NA	promoter-TSS (ID=HMEL012426g2.t1-E3;Parent=HMEL012426g2.t1)	-promoter-TSS (ID=HMEL012426g2.t1-E3;Parent=HMEL012426g2.t1)	-236	ID=HMEL012426g2.t1-E3;Parent=HMEL012426g2.t1								
364	Hmel208019	22649	22984	+	0	NA	Intergenic	Intergenic	40473	ID=HMEL013427g1.t1-E2;Parent=HMEL013427g1.t1								
1425	Hmel215006	1278569	1279351	+	0	NA	Intergenic	Intergenic	-35521	ID=HMEL000025-RG-E2;Parent=HMEL000025-RG								
950	Hmel212001	2467658	2468208	+	0	NA	Intergenic	Intergenic	2490	ID=HMEL016825g1.t1-E1;Parent=HMEL016825g1.t1								
2680	Hmel205020	737956	738211	+	0	NA	Intergenic	Intergenic	46887	ID=HMEL036805g1.t1-E1;Parent=HMEL036805g1.t1								
1445	Hmel215025	165186	166148	+	0	NA	TTS (ID=HMEL021946g1.t1-E3;Parent=HMEL021946g1.t1)	-TTS (ID=HMEL021946g1.t1-E3;Parent=HMEL021946g1.t1)	374	ID=HMEL021946g1.t1-E3;Parent=HMEL021946g1.t1								
1678	Hmel217014	1237934	1238412	+	0	NA	Intergenic	Intergenic	4556	ID=HMEL033944g1.t1-E2;Parent=HMEL033944g1.t1								
1845	Hmel218018	928975	929896	+	0	NA	Intergenic	Intergenic	-15672	ID=HMEL034358g1.t1-E1;Parent=HMEL034358g1.t1								
1025	Hmel212006	394554	394914	+	0	NA	Intergenic	Intergenic	-24971	ID=HMEL031535g1.t1-E1;Parent=HMEL031535g1.t1								
1992	Hmel219003	1454584	1455038	+	0	NA	promoter-TSS (ID=HMEL016976g1.t1-E4;Parent=HMEL016976g1.t1)	-promoter-TSS (ID=HMEL016976g1.t1-E4;Parent=HMEL016976g1.t1)	-476	ID=HMEL016976g1.t1-E4;Parent=HMEL016976g1.t1								
2478	Hmel203045	615406	615761	+	0	NA	Intergenic	Intergenic	9947	ID=HMEL036074g1.t1-E17;Parent=HMEL036074g1.t1								
1842	Hmel218018	821509	821854	+	0	NA	Intergenic	Intergenic	-12395	ID=HMEL034356g1.t1-E1;Parent=HMEL034356g1.t1								
1466	Hmel215047	443647	444567	+	0	NA	Intergenic	Intergenic	-1497	ID=HMEL032868g1.t1-E1;Parent=HMEL032868g1.t1								
485	Hmel201009	4681566	4682063	+	0	NA	promoter-TSS (ID=HMEL009385g1.t1-E1;Parent=HMEL009385g1.t1)	-promoter-TSS (ID=HMEL009385g1.t1-E1;Parent=HMEL009385g1.t1)	-43	ID=HMEL009385g1.t1-E1;Parent=HMEL009385g1.t1								
2340	Hmel220009	135406	136255	+	0	NA	Intergenic	Intergenic	-10474	ID=HMEL035253g1.t1-E1;Parent=HMEL035253g1.t1								
2143	Hmel219014	638608	639318	+	0	NA	Intergenic	Intergenic	-11122	ID=HMEL005617g1.t1-E1;Parent=HMEL005617g1.t1								
778	Hmel211004	6008	6579	+	0	NA	Intergenic	Intergenic	-2990	ID=HMEL015207g1.t1-E1;Parent=HMEL015207g1.t1								
720	Hmel210011	2981671	2981851	+	0	NA	Intergenic	Intergenic	-5449	ID=HMEL030884g1.t1-E1;Parent=HMEL030884g1.t1								
1270	Hmel213065	556684	557563	+	0	NA	Intergenic	Intergenic	-6714	ID=HMEL032151g1.t1-E9;Parent=HMEL032151g1.t1								
2449	Hmel203030	185008	185378	+	0	NA	Intergenic	Intergenic	1484	ID=HMEL036017g1.t1-E3;Parent=HMEL036017g1.t1								
460	Hmel209001	1074774	1075191	+	0	NA	promoter-TSS (ID=HMEL007018g1.t1-E6;Parent=HMEL007018g1.t1)	-promoter-TSS (ID=HMEL007018g1.t1-E6;Parent=HMEL007018g1.t1)	-736	ID=HMEL007018g1.t1-E6;Parent=HMEL007018g1.t1								
1645	Hmel217004	3103333	3103691	+	0	NA	Intergenic	Intergenic	-11067	ID=HMEL033829g1.t1-E1;Parent=HMEL033829g1.t1								
324	Hmel207021	2114619	2115186	+	0	NA	Intergenic	Intergenic	2210	ID=HMEL013370g2.t1-E1;Parent=HMEL013370g2.t1								
1389	Hmel214024	289745	290854	+	0	NA	Intergenic	Intergenic	3643	ID=HMEL032509g1.t1-E6;Parent=HMEL032509g1.t1								
244	Hmel207002	6465427	6465845	+	0	NA	Intergenic	Intergenic	-24462	ID=HMEL037499g1.t1-E1;Parent=HMEL037499g1.t1								
637	Hmel210005	288775	289314	+	0	NA	Intergenic	Intergenic	-1670	ID=HMEL030741g1.t1-E1;Parent=HMEL030741g1.t1								
2066	Hmel219003	6277664	6277894	+	0	NA	Intergenic	Intergenic	-16814	ID=HMEL034692g1.t1-E1;Parent=HMEL034692g1.t1								
2679	Hmel205020	736474	736653	+	0	NA	Intergenic	Intergenic	45367	ID=HMEL036805g1.t1-E1;Parent=HMEL036805g1.t1								
752	Hmel201011	1091928	1092448	+	0	NA	Intergenic	Intergenic	-1665	ID=HMEL005671g2.t1-E1;Parent=HMEL005671g2.t1								
1232	Hmel213049	608669	609377	+	0	NA	Intergenic	Intergenic	-32555	ID=HMEL032074g1.t1-E1;Parent=HMEL032074g1.t1								
379	Hmel208021	511860	512485	+	0	NA	Intergenic	Intergenic	2460	ID=HMEL037959g1.t1-E1;Parent=HMEL037959g1.t1								
1607	Hmel217004	1192237	1193156	+	0	NA	promoter-TSS (ID=HMEL006591g1.t1-E1;Parent=HMEL006591g1.t1)	-promoter-TSS (ID=HMEL006591g1.t1-E1;Parent=HMEL006591g1.t1)	-70	ID=HMEL006591g1.t1-E1;Parent=HMEL006591g1.t1								
1386	Hmel214022	181698	182179	+	0	NA	Intergenic	Intergenic	-2837	ID=HMEL032487g1.t1-E1;Parent=HMEL032487g1.t1								
1536	Hmel216011	2219154	2219937	+	0	NA	promoter-TSS (ID=HMEL004389g1.t1-E1;Parent=HMEL004389g1.t1)	-promoter-TSS (ID=HMEL004389g1.t1-E1;Parent=HMEL004389g1.t1)	-250	ID=HMEL004389g1.t1-E1;Parent=HMEL004389g1.t1								
1639	Hmel217004	3026487	3027113	+	0	NA	promoter-TSS (ID=HMEL033828g1.t1-E6;Parent=HMEL033828g1.t1)	-promoter-TSS (ID=HMEL033828g1.t1-E6;Parent=HMEL033828g1.t1)	-192	ID=HMEL033828g1.t1-E6;Parent=HMEL033828g1.t1								
1035	Hmel212009	236170	236691	+	0	NA	Intergenic	Intergenic	-4359	ID=HMEL003641g1.t1-E1;Parent=HMEL003641g1.t1								
2617	Hmel205005	1087787	1088072	+	0	NA	Intergenic	Intergenic	5570	ID=HMEL016251g1.t1-E7;Parent=HMEL016251g1.t1								
452	Hmel209001	451570	452064	+	0	NA	Intergenic	Intergenic	-23617	ID=HMEL005276g1.t1-E1;Parent=HMEL005276g1.t1								
579	Hmel210004	1962802	1963230	+	0	NA	Intergenic	Intergenic	-16271	ID=HMEL030634g1.t1-E1;Parent=HMEL030634g1.t1								
295	Hmel207014	180535	180829	+	0	NA	Intergenic	Intergenic	-1283	ID=HMEL003666g4.t1-E1;Parent=HMEL003666g4.t1								
1894	Hmel218018	6257140	6257445	+	0	NA	Intergenic	Intergenic	1201	ID=HMEL016327g1.t1-E2;Parent=HMEL016327g1.t1								
535	Hmel201009	5266805	5268111	+	0	NA	promoter-TSS (ID=HMEL011658g2.t1-E1;Parent=HMEL011658g2.t1)	-promoter-TSS (ID=HMEL011658g2.t1-E1;Parent=HMEL011658g2.t1)	29	ID=HMEL011658g2.t1-E1;Parent=HMEL011658g2.t1								
1618	Hmel217004	1713226	1713559	+	0	NA	Intergenic	Intergenic	22048	ID=HMEL033802g1.t1-E2;Parent=HMEL033802g1.t1								
77	Hmel206009	2594178	2594585	+	0	NA	Intergenic	Intergenic	-31055	ID=HMEL005355g1.t1-E1;Parent=HMEL005355g1.t1								
683	Hmel210011	387502	388647	+	0	NA	Intergenic	Intergenic	-6241	ID=HMEL013326g2.t1-E1;Parent=HMEL013326g2.t1								
2260	Hmel220005	1737948	1738715	+	0	NA	promoter-TSS (ID=HMEL035099g1.t1-E3;Parent=HMEL035099g1.t1)	-promoter-TSS (ID=HMEL035099g1.t1-E3;Parent=HMEL035099g1.t1)	-90	ID=HMEL035099g1.t1-E3;Parent=HMEL035099g1.t1								
541	Hmel209007	3956246	3956472	+	0	NA	Intergenic	Intergenic	2601	ID=HMEL030466g1.t1-E1;Parent=HMEL030466g1.t1								
1215	Hmel213044	748993	749264	+	0	NA	promoter-TSS (ID=HMEL032042g1.t1-E3;Parent=HMEL032042g1.t1)	-promoter-TSS (ID=HMEL032042g1.t1-E3;Parent=HMEL032042g1.t1)	-727	ID=HMEL032042g1.t1-E3;Parent=HMEL032042g1.t1								
1712	Hmel218003	367293	367818	+	0	NA	TTS (ID=HMEL003176-RA-E5;Parent=HMEL003176-RA)	-TTS (ID=HMEL003176-RA-E5;Parent=HMEL003176-RA)	1126	ID=HMEL003176-RA-E5;Parent=HMEL003176-RA								
2344	Hmel220009	164994	166125	+	0	NA	promoter-TSS (ID=HMEL035254g1.t1-E6;Parent=HMEL035254g1.t1)	-promoter-TSS (ID=HMEL035254g1.t1-E6;Parent=HMEL035254g1.t1)	-85	ID=HMEL035254g1.t3-E6;Parent=HMEL035254g1.t3								
765	Hmel210012	32863	33063	+	0	NA	Intergenic	Intergenic	-23146	ID=HMEL010257g1.t1-E1;Parent=HMEL010257g1.t1								
2552	Hmel204001	1257074	1257623	+	0	NA	Intergenic	Intergenic	3273	ID=HMEL009715g1.t1-E3;Parent=HMEL009715g1.t1								
2521	Hmel203069	262853	263787	+	0	NA	Intergenic	Intergenic	-2207	ID=HMEL036175g1.t1-E1;Parent=HMEL036175g1.t1								
897	Hmel211012	1304889	1305108	+	0	NA	Intergenic	Intergenic	-7593	ID=HMEL012818g1.t2-E1;Parent=HMEL012818g1.t2								
312	Hmel207021	1682011	1682935	+	0	NA	Intergenic	Intergenic	3442	ID=HMEL009861g1.t1-E3;Parent=HMEL009861g1.t1								
1628	Hmel217004	2475918	2476180	+	0	NA	promoter-TSS (ID=HMEL033813g1.t1-E11;Parent=HMEL033813g1.t1)	-promoter-TSS (ID=HMEL033813g1.t1-E11;Parent=HMEL033813g1.t1)	-420	ID=HMEL033813g1.t2-E10;Parent=HMEL033813g1.t2								
2435	Hmel221015	646675	647142	+	0	NA	Intergenic	Intergenic	-15102	ID=HMEL035658g1.t1-E1;Parent=HMEL035658g1.t1								
1002	Hmel212004	552171	552597	+	0	NA	Intergenic	Intergenic	-1437	ID=HMEL017125g1.t1-E2;Parent=HMEL017125g1.t1								
237	Hmel207002	6353544	6353892	+	0	NA	Intergenic	Intergenic	6111	ID=HMEL016486g1.t1-E1;Parent=HMEL016486g1.t1								
2584	Hmel204017	2358765	2358961	+	0	NA	Intergenic	Intergenic	-10926	ID=HMEL036476g1.t1-E1;Parent=HMEL036476g1.t1								
370	Hmel208019	529930	530208	+	0	NA	Intergenic	Intergenic	-8353	ID=HMEL005752g1.t1-E1;Parent=HMEL005752g1.t1								
2371	Hmel220014	32361	32858	+	0	NA	promoter-TSS (ID=HMEL003491g1.t1-E2;Parent=HMEL003491g1.t1)	-promoter-TSS (ID=HMEL003491g1.t1-E2;Parent=HMEL003491g1.t1)	-388	ID=HMEL003491g1.t1-E2;Parent=HMEL003491g1.t1								
2519	Hmel203067	1097845	1098698	+	0	NA	Intergenic	Intergenic	-2055	ID=HMEL036157g1.t1-E3;Parent=HMEL036157g1.t1								
2610	Hmel205005	708832	709581	+	0	NA	Intergenic	Intergenic	-8759	ID=HMEL016273g1.t3-E1;Parent=HMEL016273g1.t3								
567	Hmel210004	628635	629954	+	0	NA	Intergenic	Intergenic	7600	ID=HMEL011084g1.t1-E6;Parent=HMEL011084g1.t1								
416	Hmel208050	52105	52711	+	0	NA	Intergenic	Intergenic	-10562	ID=HMEL038130g1.t1-E1;Parent=HMEL038130g1.t1								
914	Hmel211016	128524	129343	+	0	NA	Intergenic	Intergenic	10717	ID=HMEL031259g1.t1-E1;Parent=HMEL031259g1.t1								
