PeakID (cmd=annotatePeaks.pl development_5th_p05FC1_shared_5thup_melpCoords.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_5th_p05FC1_shared_5thup_melpCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1731	Hmel220003	1235839	1236445	+	0	NA	Intergenic	Intergenic	-63601	ID=HMEL017017g1.t1-E1;Parent=HMEL017017g1.t1								
853	Hmel212009	907872	908372	+	0	NA	Intergenic	Intergenic	11112	ID=HMEL011919g1.t1-E4;Parent=HMEL011919g1.t1								
751	Hmel201011	2684595	2686483	+	0	NA	promoter-TSS (ID=HMEL006157g1.t1-E1;Parent=HMEL006157g1.t1)	-promoter-TSS (ID=HMEL006157g1.t1-E1;Parent=HMEL006157g1.t1)	-49	ID=HMEL006157g2.t1-E1;Parent=HMEL006157g2.t1								
1500	Hmel218018	2527997	2528300	+	0	NA	Intergenic	Intergenic	11466	ID=HMEL034392g1.t1-E2;Parent=HMEL034392g1.t1								
1746	Hmel220003	1922461	1922632	+	0	NA	Intergenic	Intergenic	-1815	ID=HMEL017062g1.t1-E2;Parent=HMEL017062g1.t1								
1980	Hmel203067	545596	545846	+	0	NA	Intergenic	Intergenic	-11371	ID=HMEL036142g1.t1-E1;Parent=HMEL036142g1.t1								
1295	Hmel216015	702377	702812	+	0	NA	Intergenic	Intergenic	-9172	ID=HMEL033638g1.t1-E1;Parent=HMEL033638g1.t1								
677	Hmel211004	2115482	2116090	+	0	NA	Intergenic	Intergenic	-8340	ID=HMEL015137g1.t1-E1;Parent=HMEL015137g1.t1								
1111	Hmel214008	2252189	2252861	+	0	NA	TTS (ID=HMEL005632g1.t1-E2;Parent=HMEL005632g1.t1)	-TTS (ID=HMEL005632g1.t1-E2;Parent=HMEL005632g1.t1)	161	ID=HMEL005632g1.t1-E2;Parent=HMEL005632g1.t1								
907	Hmel201002	1536731	1537897	+	0	NA	Intergenic	Intergenic	9067	ID=HMEL011288g1.t1-E1;Parent=HMEL011288g1.t1								
1868	Hmel201005	84825	85088	+	0	NA	Intergenic	Intergenic	-48107	ID=HMEL030066g1.t1-E1;Parent=HMEL030066g1.t1								
590	Hmel210011	3404580	3405290	+	0	NA	Intergenic	Intergenic	5797	ID=HMEL015990g1.t1-E5;Parent=HMEL015990g1.t1								
1210	Hmel215047	538652	538949	+	0	NA	Intergenic	Intergenic	-2827	ID=HMEL032869g1.t1-E1;Parent=HMEL032869g1.t1								
664	Hmel211004	1211106	1211827	+	0	NA	promoter-TSS (ID=HMEL003322g1.t1-E6;Parent=HMEL003322g1.t1)	-promoter-TSS (ID=HMEL003322g1.t1-E6;Parent=HMEL003322g1.t1)	-275	ID=HMEL003322g1.t1-E6;Parent=HMEL003322g1.t1								
1790	Hmel220005	3289090	3289373	+	0	NA	Intergenic	Intergenic	-15395	ID=HMEL005066-RA-E1;Parent=HMEL005066-RA								
1878	Hmel221009	674133	674445	+	0	NA	Intergenic	Intergenic	4771	ID=HMEL035533g1.t1-E2;Parent=HMEL035533g1.t1								
1690	Hmel219014	2627208	2627846	+	0	NA	promoter-TSS (ID=HMEL015724g1.t1-E4;Parent=HMEL015724g1.t1)	-promoter-TSS (ID=HMEL015724g1.t1-E4;Parent=HMEL015724g1.t1)	-14	ID=HMEL015724g1.t1-E4;Parent=HMEL015724g1.t1								
617	Hmel210011	5091942	5092413	+	0	NA	Intergenic	Intergenic	-28202	ID=HMEL030933g1.t1-E1;Parent=HMEL030933g1.t1								
79	Hmel201009	778000	778619	+	0	NA	Intergenic	Intergenic	-2244	ID=HMEL013296g1.t1-E1;Parent=HMEL013296g1.t1								
1420	Hmel218005	747923	749132	+	0	NA	Intergenic	Intergenic	15685	ID=HMEL034263g1.t1-E2;Parent=HMEL034263g1.t1								
352	Hmel208021	176925	177459	+	0	NA	Intergenic	Intergenic	-1114	ID=HMEL037940g1.t1-E2;Parent=HMEL037940g1.t1								
126	Hmel201009	1389339	1389941	+	0	NA	Intergenic	Intergenic	-7221	ID=HMEL030148g1.t1-E1;Parent=HMEL030148g1.t1								
251	Hmel207014	326486	327684	+	0	NA	Intergenic	Intergenic	4806	ID=HMEL037621g1.t1-E1;Parent=HMEL037621g1.t1								
1034	Hmel213051	79556	81324	+	0	NA	promoter-TSS (ID=HMEL032083g1.t1-E9;Parent=HMEL032083g1.t1)	-promoter-TSS (ID=HMEL032083g1.t1-E9;Parent=HMEL032083g1.t1)	-16	ID=HMEL032083g1.t1-E9;Parent=HMEL032083g1.t1								
1594	Hmel219003	1613744	1613968	+	0	NA	TTS (ID=HMEL008613g1.t1-E7;Parent=HMEL008613g1.t1)	-TTS (ID=HMEL008613g1.t1-E7;Parent=HMEL008613g1.t1)	144	ID=HMEL008613g1.t1-E7;Parent=HMEL008613g1.t1								
369	Hmel208048	337845	339263	+	0	NA	Intergenic	Intergenic	-26910	ID=HMEL038122g1.t1-E1;Parent=HMEL038122g1.t1								
1533	Hmel218018	6068503	6069530	+	0	NA	Intergenic	Intergenic	-25507	ID=HMEL007355g1.t3-E1;Parent=HMEL007355g1.t3								
1548	Hmel218018	6795759	6796290	+	0	NA	Intergenic	Intergenic	2813	ID=HMEL015837g1.t1-E1;Parent=HMEL015837g1.t1								
651	Hmel211004	173223	173817	+	0	NA	Intergenic	Intergenic	22759	ID=HMEL015227g1.t1-E10;Parent=HMEL015227g1.t1								
176	Hmel207002	1697700	1698521	+	0	NA	Intergenic	Intergenic	-14200	ID=HMEL011242g1.t2-E1;Parent=HMEL011242g1.t2								
947	Hmel213004	1117218	1117528	+	0	NA	Intergenic	Intergenic	-6100	ID=HMEL031779g1.t1-E1;Parent=HMEL031779g1.t1								
256	Hmel207021	343599	343809	+	0	NA	TTS (ID=HMEL037659g1.t1-E11;Parent=HMEL037659g1.t1)	-TTS (ID=HMEL037659g1.t1-E11;Parent=HMEL037659g1.t1)	898	ID=HMEL037659g1.t1-E11;Parent=HMEL037659g1.t1								
1823	Hmel220011	518662	519180	+	0	NA	Intergenic	Intergenic	-1488	ID=HMEL035286g1.t2-E9;Parent=HMEL035286g1.t2								
920	Hmel212013	3196734	3196990	+	0	NA	Intergenic	Intergenic	6128	ID=HMEL012337g2.t1-E3;Parent=HMEL012337g2.t1								
428	Hmel209007	550545	550978	+	0	NA	Intergenic	Intergenic	11818	ID=HMEL030375g1.t1-E3;Parent=HMEL030375g1.t1								
887	Hmel212013	666280	666916	+	0	NA	Intergenic	Intergenic	-1148	ID=HMEL011957g2.t1-E2;Parent=HMEL011957g2.t1								
72	Hmel206009	2009310	2009835	+	0	NA	Intergenic	Intergenic	-19559	ID=HMEL037036g1.t1-E1;Parent=HMEL037036g1.t1								
500	Hmel210004	6977834	6978273	+	0	NA	TTS (ID=HMEL030732g1.t1-E1;Parent=HMEL030732g1.t1)	-TTS (ID=HMEL030732g1.t1-E1;Parent=HMEL030732g1.t1)	1966	ID=HMEL030732g1.t1-E1;Parent=HMEL030732g1.t1								
1221	Hmel215047	2282043	2282884	+	0	NA	TTS (ID=HMEL032927g1.t1-E6;Parent=HMEL032927g1.t1)	-TTS (ID=HMEL032927g1.t1-E6;Parent=HMEL032927g1.t1)	785	ID=HMEL032927g1.t1-E6;Parent=HMEL032927g1.t1								
1496	Hmel218018	2138759	2139164	+	0	NA	Intergenic	Intergenic	-4244	ID=HMEL034386g1.t1-E1;Parent=HMEL034386g1.t1								
1200	Hmel215045	20302	20915	+	0	NA	NA	NA	NA	NA								
1757	Hmel220005	597814	598281	+	0	NA	Intergenic	Intergenic	4475	ID=HMEL035055g1.t1-E1;Parent=HMEL035055g1.t1								
918	Hmel212013	3185593	3185938	+	0	NA	Intergenic	Intergenic	-4593	ID=HMEL012337g2.t1-E1;Parent=HMEL012337g2.t1								
1682	Hmel219014	1707260	1707765	+	0	NA	Intergenic	Intergenic	4075	ID=HMEL004938g1.t1-E14;Parent=HMEL004938g1.t1								
1413	Hmel218005	523448	523916	+	0	NA	Intergenic	Intergenic	-3905	ID=HMEL034258g1.t1-E1;Parent=HMEL034258g1.t1								
2107	Hmel205020	156319	156602	+	0	NA	TTS (ID=HMEL020251g1.t1-E4;Parent=HMEL020251g1.t1)	-TTS (ID=HMEL020251g1.t1-E4;Parent=HMEL020251g1.t1)	1051	ID=HMEL020251g1.t1-E4;Parent=HMEL020251g1.t1								
1108	Hmel214008	1781741	1782029	+	0	NA	promoter-TSS (ID=HMEL032356g1.t1-E4;Parent=HMEL032356g1.t1)	-promoter-TSS (ID=HMEL032356g1.t1-E4;Parent=HMEL032356g1.t1)	-531	ID=HMEL032356g1.t1-E4;Parent=HMEL032356g1.t1								
1275	Hmel216011	2573853	2575115	+	0	NA	Intergenic	Intergenic	3096	ID=HMEL033589g1.t1-E5;Parent=HMEL033589g1.t1								
1598	Hmel219003	1880328	1880862	+	0	NA	promoter-TSS (ID=HMEL010666g1.t1-E1;Parent=HMEL010666g1.t1)	-promoter-TSS (ID=HMEL010666g1.t1-E1;Parent=HMEL010666g1.t1)	-32	ID=HMEL010666g1.t1-E1;Parent=HMEL010666g1.t1								
1014	Hmel213044	654589	655347	+	0	NA	Intergenic	Intergenic	22740	ID=HMEL017299g1.t1-E1;Parent=HMEL017299g1.t1								
843	Hmel212009	244541	245967	+	0	NA	promoter-TSS (ID=HMEL003641g1.t1-E8;Parent=HMEL003641g1.t1)	-promoter-TSS (ID=HMEL003641g1.t1-E8;Parent=HMEL003641g1.t1)	153	ID=HMEL003641g1.t3-E7;Parent=HMEL003641g1.t3								
1856	Hmel221001	1248253	1248701	+	0	NA	TTS (ID=HMEL013527g1.t1-E1;Parent=HMEL013527g1.t1)	-TTS (ID=HMEL013527g1.t1-E1;Parent=HMEL013527g1.t1)	643	ID=HMEL013527g1.t1-E1;Parent=HMEL013527g1.t1								
1491	Hmel218018	1223091	1223478	+	0	NA	Intergenic	Intergenic	-2905	ID=HMEL034361g1.t1-E1;Parent=HMEL034361g1.t1								
1362	Hmel217018	437910	438332	+	0	NA	Intergenic	Intergenic	-6514	ID=HMEL033962g1.t1-E1;Parent=HMEL033962g1.t1								
1804	Hmel220005	5540041	5542504	+	0	NA	TTS (ID=HMEL009436g1.t1-E1;Parent=HMEL009436g1.t1)	-TTS (ID=HMEL009436g1.t1-E1;Parent=HMEL009436g1.t1)	414	ID=HMEL009436g1.t1-E1;Parent=HMEL009436g1.t1								
632	Hmel211002	63039	63545	+	0	NA	Intergenic	Intergenic	-5205	ID=HMEL015339g1.t1-E1;Parent=HMEL015339g1.t1								
394	Hmel209001	1101086	1101527	+	0	NA	Intergenic	Intergenic	-5598	ID=HMEL007018g1.t2-E2;Parent=HMEL007018g1.t2								
1371	Hmel217018	664967	665276	+	0	NA	Intergenic	Intergenic	-9952	ID=HMEL033973g1.t1-E1;Parent=HMEL033973g1.t1								
610	Hmel210011	4685103	4685886	+	0	NA	promoter-TSS (ID=HMEL009058g1.t1-E1;Parent=HMEL009058g1.t1)	-promoter-TSS (ID=HMEL009058g1.t1-E1;Parent=HMEL009058g1.t1)	-104	ID=HMEL009058g1.t1-E1;Parent=HMEL009058g1.t1								
514	Hmel210005	433407	433762	+	0	NA	Intergenic	Intergenic	1497	ID=HMEL014104g1.t1-E2;Parent=HMEL014104g1.t1								
725	Hmel211012	629475	630179	+	0	NA	Intergenic	Intergenic	-4835	ID=HMEL031216g1.t1-E2;Parent=HMEL031216g1.t1								
513	Hmel210005	430076	430562	+	0	NA	exon (ID=HMEL014104g1.t1-E1;Parent=HMEL014104g1.t1, exon 1 of 1)	-exon (ID=HMEL014104g1.t1-E1;Parent=HMEL014104g1.t1, exon 1 of 1)	358	ID=HMEL014104g1.t1-E1;Parent=HMEL014104g1.t1								
50	Hmel206009	809206	810187	+	0	NA	Intergenic	Intergenic	6568	ID=HMEL017103g1.t1-E1;Parent=HMEL017103g1.t1								
1519	Hmel218018	4956836	4957646	+	0	NA	promoter-TSS (ID=HMEL004586g1.t1-E2;Parent=HMEL004586g1.t1)	-promoter-TSS (ID=HMEL004586g1.t1-E2;Parent=HMEL004586g1.t1)	-623	ID=HMEL004586g1.t1-E2;Parent=HMEL004586g1.t1								
1994	Hmel203069	384572	386189	+	0	NA	promoter-TSS (ID=HMEL036176g1.t1-E4;Parent=HMEL036176g1.t1)	-promoter-TSS (ID=HMEL036176g1.t1-E4;Parent=HMEL036176g1.t1)	-322	ID=HMEL036176g1.t1-E4;Parent=HMEL036176g1.t1								
797	Hmel212001	3452296	3453397	+	0	NA	Intergenic	Intergenic	14494	ID=HMEL031389g1.t1-E2;Parent=HMEL031389g1.t1								
1136	Hmel202004	1232973	1233882	+	0	NA	promoter-TSS (ID=HMEL033209g1.t1-E1;Parent=HMEL033209g1.t1)	-promoter-TSS (ID=HMEL033209g1.t1-E1;Parent=HMEL033209g1.t1)	-10	ID=HMEL033209g1.t1-E1;Parent=HMEL033209g1.t1								
1175	Hmel215008	54837	55233	+	0	NA	Intergenic	Intergenic	5889	ID=HMEL015100g1.t1-E1;Parent=HMEL015100g1.t1								
1236	Hmel202006	786422	787102	+	0	NA	Intergenic	Intergenic	-6419	ID=HMEL010189g2.t1-E1;Parent=HMEL010189g2.t1								
1683	Hmel219014	1786701	1787824	+	0	NA	Intergenic	Intergenic	24128	ID=HMEL004932g1.t1-E1;Parent=HMEL004932g1.t1								
645	Hmel201011	1641704	1642888	+	0	NA	Intergenic	Intergenic	9053	ID=HMEL033052g1.t1-E2;Parent=HMEL033052g1.t1								
1326	Hmel217004	1606247	1607081	+	0	NA	Intergenic	Intergenic	19719	ID=HMEL006834g1.t1-E1;Parent=HMEL006834g1.t1								
1382	Hmel201002	2240897	2241722	+	0	NA	Intergenic	Intergenic	-10079	ID=HMEL014991g1.t1-E1;Parent=HMEL014991g1.t1								
1176	Hmel215008	112871	113711	+	0	NA	Intergenic	Intergenic	7084	ID=HMEL032701g1.t1-E2;Parent=HMEL032701g1.t1								
1452	Hmel218014	132197	132559	+	0	NA	Intergenic	Intergenic	-17316	ID=HMEL034341g1.t1-E1;Parent=HMEL034341g1.t1								
1039	Hmel213062	817931	818502	+	0	NA	Intergenic	Intergenic	1809	ID=HMEL032118g1.t1-E2;Parent=HMEL032118g1.t1								
1815	Hmel220009	16002	16521	+	0	NA	TTS (ID=HMEL002238g3.t1-E1;Parent=HMEL002238g3.t1)	-TTS (ID=HMEL002238g3.t1-E1;Parent=HMEL002238g3.t1)	838	ID=HMEL002238g3.t1-E1;Parent=HMEL002238g3.t1								
1005	Hmel213036	94157	94498	+	0	NA	Intergenic	Intergenic	-7956	ID=HMEL032011g1.t1-E1;Parent=HMEL032011g1.t1								
28	Hmel206006	2043274	2044095	+	0	NA	Intergenic	Intergenic	1884	ID=HMEL036968g1.t1-E6;Parent=HMEL036968g1.t1								
2089	Hmel205014	125387	125759	+	0	NA	Intergenic	Intergenic	-2085	ID=HMEL015049g5.t1-E1;Parent=HMEL015049g5.t1								
589	Hmel210011	3399484	3400634	+	0	NA	TTS (ID=HMEL015990g1.t1-E5;Parent=HMEL015990g1.t1)	-TTS (ID=HMEL015990g1.t1-E5;Parent=HMEL015990g1.t1)	921	ID=HMEL015990g1.t1-E5;Parent=HMEL015990g1.t1								
2087	Hmel205012	1265947	1266506	+	0	NA	Intergenic	Intergenic	-11559	ID=HMEL017902g2.t1-E1;Parent=HMEL017902g2.t1								
1337	Hmel217004	2185586	2185976	+	0	NA	Intergenic	Intergenic	-5615	ID=HMEL016679g1.t1-E1;Parent=HMEL016679g1.t1								
215	Hmel207002	5976304	5977209	+	0	NA	Intergenic	Intergenic	-9771	ID=HMEL037490g1.t1-E5;Parent=HMEL037490g1.t1								
687	Hmel211004	3351674	3352126	+	0	NA	Intergenic	Intergenic	-3154	ID=HMEL006248g1.t1-E2;Parent=HMEL006248g1.t1								
2098	Hmel201007	1658923	1659419	+	0	NA	Intergenic	Intergenic	44319	ID=HMEL010948g1.t1-E1;Parent=HMEL010948g1.t1								
150	Hmel207002	715397	715939	+	0	NA	Intergenic	Intergenic	5232	ID=HMEL009530g1.t1-E4;Parent=HMEL009530g1.t1								
245	Hmel207014	186927	187819	+	0	NA	promoter-TSS (ID=HMEL003667g1.t1-E2;Parent=HMEL003667g1.t1)	-promoter-TSS (ID=HMEL003667g1.t1-E2;Parent=HMEL003667g1.t1)	87	ID=HMEL003667g1.t1-E2;Parent=HMEL003667g1.t1								
826	Hmel201019	287708	288011	+	0	NA	TTS (ID=HMEL033106g1.t1-E3;Parent=HMEL033106g1.t1)	-TTS (ID=HMEL033106g1.t1-E3;Parent=HMEL033106g1.t1)	984	ID=HMEL033106g1.t1-E3;Parent=HMEL033106g1.t1								
1344	Hmel217004	3666964	3667399	+	0	NA	Intergenic	Intergenic	7530	ID=HMEL010416g1.t1-E6;Parent=HMEL010416g1.t1								
332	Hmel201009	3235883	3236878	+	0	NA	Intergenic	Intergenic	-14847	ID=HMEL030212g1.t1-E1;Parent=HMEL030212g1.t1								
1099	Hmel214008	911945	912191	+	0	NA	Intergenic	Intergenic	-5985	ID=HMEL032330g1.t1-E1;Parent=HMEL032330g1.t1								
1965	Hmel203048	412015	412227	+	0	NA	Intergenic	Intergenic	-14874	ID=HMEL036097g1.t1-E1;Parent=HMEL036097g1.t1								
745	Hmel211015	274633	275216	+	0	NA	Intergenic	Intergenic	-10904	ID=HMEL031249g1.t1-E1;Parent=HMEL031249g1.t1								
34	Hmel206006	2164498	2165512	+	0	NA	promoter-TSS (ID=HMEL016515g1.t1-E1;Parent=HMEL016515g1.t1)	-promoter-TSS (ID=HMEL016515g1.t1-E1;Parent=HMEL016515g1.t1)	-441	ID=HMEL016515g1.t1-E1;Parent=HMEL016515g1.t1								
2082	Hmel205012	971083	971708	+	0	NA	Intergenic	Intergenic	-6891	ID=HMEL017894g1.t1-E1;Parent=HMEL017894g1.t1								
620	Hmel210011	5367381	5368293	+	0	NA	Intergenic	Intergenic	5794	ID=HMEL009189g1.t1-E2;Parent=HMEL009189g1.t1								
1410	Hmel218005	289744	290100	+	0	NA	promoter-TSS (ID=HMEL034252g1.t1-E1;Parent=HMEL034252g1.t1)	-promoter-TSS (ID=HMEL034252g1.t1-E1;Parent=HMEL034252g1.t1)	-523	ID=HMEL034252g1.t1-E1;Parent=HMEL034252g1.t1								
1434	Hmel218007	1218375	1219257	+	0	NA	Intergenic	Intergenic	20224	ID=HMEL015334g1.t1-E1;Parent=HMEL015334g1.t1								
1547	Hmel218018	6767123	6768461	+	0	NA	Intergenic	Intergenic	-12575	ID=HMEL034467g1.t1-E1;Parent=HMEL034467g1.t1								
937	Hmel213004	337688	338286	+	0	NA	Intergenic	Intergenic	4184	ID=HMEL031769g1.t1-E2;Parent=HMEL031769g1.t1								
1045	Hmel213062	1087456	1088516	+	0	NA	Intergenic	Intergenic	-8167	ID=HMEL014866g1.t1-E1;Parent=HMEL014866g1.t1								
1619	Hmel219003	3608484	3608957	+	0	NA	Intergenic	Intergenic	-46351	ID=HMEL003149g1.t1-E1;Parent=HMEL003149g1.t1								
730	Hmel201011	2481150	2481407	+	0	NA	Intergenic	Intergenic	-6397	ID=HMEL033074g1.t1-E1;Parent=HMEL033074g1.t1								
16	Hmel206006	405501	406489	+	0	NA	Intergenic	Intergenic	-21868	ID=HMEL012148g1.t1-E1;Parent=HMEL012148g1.t1								
921	Hmel212013	3202715	3203148	+	0	NA	Intergenic	Intergenic	12197	ID=HMEL012337g2.t1-E3;Parent=HMEL012337g2.t1								
1069	Hmel213067	716472	716713	+	0	NA	Intergenic	Intergenic	-29650	ID=HMEL032194g1.t1-E1;Parent=HMEL032194g1.t1								
1224	Hmel216006	714209	714719	+	0	NA	Intergenic	Intergenic	-5245	ID=HMEL009398g1.t1-E2;Parent=HMEL009398g1.t1								
368	Hmel208048	292859	293210	+	0	NA	Intergenic	Intergenic	5623	ID=HMEL038122g1.t1-E2;Parent=HMEL038122g1.t1								
994	Hmel213025	211091	211662	+	0	NA	Intergenic	Intergenic	-2473	ID=HMEL006016g1.t1-E3;Parent=HMEL006016g1.t1								
611	Hmel210011	4709647	4710377	+	0	NA	promoter-TSS (ID=HMEL009056g1.t1-E1;Parent=HMEL009056g1.t1)	-promoter-TSS (ID=HMEL009056g1.t1-E1;Parent=HMEL009056g1.t1)	-819	ID=HMEL009056g1.t1-E1;Parent=HMEL009056g1.t1								
1786	Hmel220005	3244502	3245568	+	0	NA	Intergenic	Intergenic	1577	ID=HMEL035177g1.t1-E2;Parent=HMEL035177g1.t1								
1849	Hmel220017	1084827	1085512	+	0	NA	promoter-TSS (ID=HMEL006341-RA-E10;Parent=HMEL006341-RA)	-promoter-TSS (ID=HMEL006341-RA-E10;Parent=HMEL006341-RA)	-17	ID=HMEL006341-RA-E9;Parent=HMEL006341-RA								
849	Hmel212009	890789	891214	+	0	NA	Intergenic	Intergenic	10140	ID=HMEL011918g1.t1-E5;Parent=HMEL011918g1.t1								
492	Hmel210004	5926400	5926988	+	0	NA	Intergenic	Intergenic	-5797	ID=HMEL009013g1.t1-E2;Parent=HMEL009013g1.t1								
208	Hmel207002	5744415	5745132	+	0	NA	Intergenic	Intergenic	-2245	ID=HMEL020746g1.t1-E4;Parent=HMEL020746g1.t1								
1523	Hmel218018	5415819	5416230	+	0	NA	Intergenic	Intergenic	13648	ID=HMEL004603g1.t1-E2;Parent=HMEL004603g1.t1								
93	Hmel206009	2738095	2738673	+	0	NA	TTS (ID=HMEL005347g1.t1-E3;Parent=HMEL005347g1.t1)	-TTS (ID=HMEL005347g1.t1-E3;Parent=HMEL005347g1.t1)	890	ID=HMEL005347g1.t1-E3;Parent=HMEL005347g1.t1								
292	Hmel207021	2034886	2035272	+	0	NA	Intergenic	Intergenic	-12664	ID=HMEL037714g1.t1-E1;Parent=HMEL037714g1.t1								
291	Hmel207021	2031796	2032474	+	0	NA	Intergenic	Intergenic	-9720	ID=HMEL037714g1.t1-E1;Parent=HMEL037714g1.t1								
374	Hmel208050	83354	83754	+	0	NA	Intergenic	Intergenic	10440	ID=HMEL038130g1.t1-E3;Parent=HMEL038130g1.t1								
114	Hmel206012	663703	664356	+	0	NA	Intergenic	Intergenic	-2713	ID=HMEL037119g1.t1-E1;Parent=HMEL037119g1.t1								
429	Hmel209007	824696	825826	+	0	NA	promoter-TSS (ID=HMEL030384g1.t1-E2;Parent=HMEL030384g1.t1)	-promoter-TSS (ID=HMEL030384g1.t1-E2;Parent=HMEL030384g1.t1)	14	ID=HMEL030384g1.t1-E2;Parent=HMEL030384g1.t1								
1306	Hmel217001	1377274	1378339	+	0	NA	Intergenic	Intergenic	-20344	ID=HMEL009707g1.t1-E1;Parent=HMEL009707g1.t1								
1939	Hmel203033	266796	267177	+	0	NA	promoter-TSS (ID=HMEL036032g1.t1-E2;Parent=HMEL036032g1.t1)	-promoter-TSS (ID=HMEL036032g1.t1-E2;Parent=HMEL036032g1.t1)	502	ID=HMEL036032g1.t1-E1;Parent=HMEL036032g1.t1								
1328	Hmel217004	1693985	1694229	+	0	NA	Intergenic	Intergenic	4004	ID=HMEL033801g1.t1-E2;Parent=HMEL033801g1.t1								
73	Hmel206009	2012612	2013009	+	0	NA	Intergenic	Intergenic	-20895	ID=HMEL004094g1.t1-E1;Parent=HMEL004094g1.t1								
409	Hmel209005	120212	120481	+	0	NA	Intergenic	Intergenic	-8424	ID=HMEL030314g1.t1-E1;Parent=HMEL030314g1.t1								
1091	Hmel213071	859660	860199	+	0	NA	Intergenic	Intergenic	33938	ID=HMEL017676g1.t1-E8;Parent=HMEL017676g1.t1								
67	Hmel206009	1886652	1886962	+	0	NA	Intergenic	Intergenic	-1179	ID=HMEL016761g1.t1-E2;Parent=HMEL016761g1.t1								
812	Hmel212001	6007899	6008806	+	0	NA	Intergenic	Intergenic	-13426	ID=HMEL031459g1.t1-E1;Parent=HMEL031459g1.t1								
241	Hmel207011	429133	429542	+	0	NA	TTS (ID=HMEL037572g1.t1-E2;Parent=HMEL037572g1.t1)	-TTS (ID=HMEL037572g1.t1-E2;Parent=HMEL037572g1.t1)	181	ID=HMEL037572g1.t1-E3;Parent=HMEL037572g1.t1								
1958	Hmel203045	632513	633312	+	0	NA	promoter-TSS (ID=HMEL036074g1.t1-E1;Parent=HMEL036074g1.t1)	-promoter-TSS (ID=HMEL036074g1.t1-E1;Parent=HMEL036074g1.t1)	-75	ID=HMEL036074g1.t2-E1;Parent=HMEL036074g1.t2								
1962	Hmel203048	163211	164555	+	0	NA	Intergenic	Intergenic	1185	ID=HMEL036086g1.t1-E2;Parent=HMEL036086g1.t1								
489	Hmel210004	5876127	5876952	+	0	NA	Intergenic	Intergenic	-2886	ID=HMEL009011g1.t1-E3;Parent=HMEL009011g1.t1								
585	Hmel210011	2965032	2966296	+	0	NA	Intergenic	Intergenic	19621	ID=HMEL015955g1.t1-E2;Parent=HMEL015955g1.t1								
327	Hmel208003	63426	64710	+	0	NA	Intergenic	Intergenic	-1630	ID=HMEL037795g1.t1-E1;Parent=HMEL037795g1.t1								
1392	Hmel218003	1409156	1409453	+	0	NA	Intergenic	Intergenic	28232	ID=HMEL034223g1.t1-E1;Parent=HMEL034223g1.t1								
1970	Hmel203067	355390	355707	+	0	NA	promoter-TSS (ID=HMEL036137g1.t1-E1;Parent=HMEL036137g1.t1)	-promoter-TSS (ID=HMEL036137g1.t1-E1;Parent=HMEL036137g1.t1)	-366	ID=HMEL036137g1.t1-E1;Parent=HMEL036137g1.t1								
1080	Hmel213069	924244	924746	+	0	NA	Intergenic	Intergenic	-2156	ID=HMEL007467g1.t1-E2;Parent=HMEL007467g1.t1								
1281	Hmel216012	236225	236366	+	0	NA	promoter-TSS (ID=HMEL011495g3.t1-E2;Parent=HMEL011495g3.t1)	-promoter-TSS (ID=HMEL011495g3.t1-E2;Parent=HMEL011495g3.t1)	78	ID=HMEL011495g3.t1-E2;Parent=HMEL011495g3.t1								
732	Hmel201011	2495268	2495901	+	0	NA	Intergenic	Intergenic	7225	ID=HMEL033074g1.t1-E2;Parent=HMEL033074g1.t1								
1864	Hmel221001	2154563	2155437	+	0	NA	Intergenic	Intergenic	-11689	ID=HMEL007289-RA-E1;Parent=HMEL007289-RA								
1603	Hmel219003	1931793	1932194	+	0	NA	promoter-TSS (ID=HMEL010669g1.t1-E1;Parent=HMEL010669g1.t1)	-promoter-TSS (ID=HMEL010669g1.t1-E1;Parent=HMEL010669g1.t1)	-990	ID=HMEL010669g1.t1-E1;Parent=HMEL010669g1.t1								
622	Hmel210011	5384347	5385361	+	0	NA	Intergenic	Intergenic	-2863	ID=HMEL009189g1.t1-E3;Parent=HMEL009189g1.t1								
1881	Hmel221012	711481	713088	+	0	NA	Intergenic	Intergenic	-1784	ID=HMEL008822g2.t1-E2;Parent=HMEL008822g2.t1								
970	Hmel213013	148817	150436	+	0	NA	promoter-TSS (ID=HMEL015354g1.t1-E5;Parent=HMEL015354g1.t1)	-promoter-TSS (ID=HMEL015354g1.t1-E5;Parent=HMEL015354g1.t1)	-352	ID=HMEL015354g1.t1-E5;Parent=HMEL015354g1.t1								
24	Hmel206006	807327	807606	+	0	NA	promoter-TSS (ID=HMEL036942g1.t1-E2;Parent=HMEL036942g1.t1)	-promoter-TSS (ID=HMEL036942g1.t1-E2;Parent=HMEL036942g1.t1)	-850	ID=HMEL036942g1.t1-E2;Parent=HMEL036942g1.t1								
1416	Hmel218005	556375	556619	+	0	NA	Intergenic	Intergenic	3435	ID=HMEL034261g1.t1-E7;Parent=HMEL034261g1.t1								
